"","PLOT_ID","SUBPLOT_ID","INVENTORY_ID","AGE","N","N_ha","G","G_local","G_ha","SD_0_5","SD_5_10","SD_10_15","SD_15_20","SD_20_25","SD_25_30","SD_30_35","SD_35_40","SD_40_45","SD_45_50","Hegyi","sp_1","sp_2","sp_3","G_ha_sp_1","G_ha_sp_2","G_ha_sp_3","G_sp_1","G_sp_2","G_sp_3","N_ha_sp_1","N_ha_sp_2","N_ha_sp_3","N_sp_1","N_sp_2","N_sp_3","weight_borders","DBHm","DBHm_sp_1","DBHm_sp_2","DBHm_sp_3","Dg","Dg_sp_1","Dg_sp_2","Dg_sp_3","Hm","Hm_sp_1","Hm_sp_2","Hm_sp_3","Ho","Do","mean_slenderness","dom_slenderness","SDI","S","S_staggered","SI_100"
"805","5_1_1980","5_1_343_1980","DEN",132,32.5740260540721,733.488896609559,5.74463432409473,5.36143322586792,119.883397368322,0,0,0,0,0,0,6.51480521081443,4.34320347387629,4.34320347387629,4.34320347387629,3.91849260628294,10,NA,NA,119.883397368322,NA,NA,5.74463432409473,NA,NA,733.488896609559,NA,NA,32.5740260540721,NA,NA,2.17160173693814,46.1266666666667,46.1266666666667,NA,NA,47.3860528003758,47.3860528003758,NA,NA,36.52,36.52,NA,NA,42.7,73.1,79.1732909379968,58.4131326949384,2125.70922930247,8.64719699648919,16.0942470850919,39.3884914458234
"806","5_1_1980","5_1_392_1980","DEN",132,39.2213561475985,869.048901641584,5.32015406369287,5.03177885017237,111.552230313163,0,0,0,0,1.6342231728166,6.53689269126642,6.53689269126642,4.90266951844981,4.90266951844981,4.90266951844981,4.19835916673721,10,NA,NA,111.552230313163,NA,NA,5.32015406369287,NA,NA,869.048901641584,NA,NA,39.2213561475985,NA,NA,1.6342231728166,40.3125,40.3125,NA,NA,41.5581169368071,41.5581169368071,NA,NA,36.5958333333333,36.5958333333333,NA,NA,42.7,73.1,90.7803617571059,58.4131326949384,2024.48886724875,7.94419722356754,14.7858170758347,39.3884914458234
"807","5_1_1980","5_1_158_1980","DEN",132,25,519.254565951931,3.92864722171385,3.75441370774759,78.7207941720632,0,0,0,0,1,2,1,5,4,7,3.09146682060346,10,NA,NA,78.7207941720632,NA,NA,3.92864722171385,NA,NA,519.254565951931,NA,NA,25,NA,NA,1,43.812,43.812,NA,NA,44.7307902903582,44.7307902903582,NA,NA,37.676,37.676,NA,NA,42.7,73.1,85.9947046471287,58.4131326949384,1367.15414712599,10.2773693112485,19.1283396396693,39.3884914458234
"808","5_1_1980","5_1_133_1980","DEN",132,20.8098475794712,447.260919012148,3.9160463659637,3.63950435683579,80.6330187258394,0,0,0,0,0,1.60075750611317,1.60075750611317,3.20151501222635,1.60075750611317,3.20151501222635,2.82657614291398,10,NA,NA,80.6330187258394,NA,NA,3.9160463659637,NA,NA,447.260919012148,NA,NA,20.8098475794712,NA,NA,1.60075750611317,47.7692307692308,47.7692307692308,NA,NA,48.9490787215889,48.9490787215889,NA,NA,37.0923076923077,37.0923076923077,NA,NA,42.7,73.1,77.6489533011272,58.4131326949384,1368.11833281689,11.073671831993,20.6104256299095,39.3884914458234
"809","5_1_1980","5_1_243_1980","DEN",132,34,735.853725500901,5.23708207742399,5.06871705853464,107.685046253126,0,0,0,0,1,2,5,6,6,7,3.84642132570625,10,NA,NA,107.685046253126,NA,NA,5.23708207742399,NA,NA,735.853725500901,NA,NA,34,NA,NA,1,43.0941176470588,43.0941176470588,NA,NA,44.2853713730286,44.2853713730286,NA,NA,36.9678833181624,36.9678833181624,NA,NA,42.7,73.1,85.7840590238548,58.4131326949384,1905.44511060742,8.63329097380349,16.0683650605276,39.3884914458234
"810","5_1_1980","5_1_159_1980","DEN",132,33,697.304734675482,5.27127045947668,5.10363193388848,105.88155471399,0,0,0,0,1,4,1,5,5,9,4.0579839692614,10,NA,NA,105.88155471399,NA,NA,5.27127045947668,NA,NA,697.304734675482,NA,NA,33,NA,NA,1,44.0363636363636,44.0363636363636,NA,NA,45.0978397655049,45.0978397655049,NA,NA,37.4396373581067,37.4396373581067,NA,NA,42.7,73.1,85.0198205902505,58.4131326949384,1861.08234683337,8.86871743141436,16.5065430713554,39.3884914458234
"811","5_1_1980","5_1_215_1980","DEN",132,29,634.411186110583,4.2742035640528,4.11017394302541,89.6816617916005,0,0,0,0,1,2,5,4,5,6,3.77852514016027,10,NA,NA,89.6816617916005,NA,NA,4.2742035640528,NA,NA,634.411186110583,NA,NA,29,NA,NA,1,42.2931034482759,42.2931034482759,NA,NA,43.3195225560342,43.3195225560342,NA,NA,36.7451045799145,36.7451045799145,NA,NA,42.7,73.1,86.8820246895655,58.4131326949384,1583.58095538002,9.29793935026593,17.3054150779882,39.3884914458234
"812","5_1_1980","5_1_225_1980","DEN",132,31,672.339161203729,4.65963692734194,4.49632437483772,94.4440418851807,0,0,0,0,1,5,3,5,4,7,3.94725106889891,10,NA,NA,94.4440418851807,NA,NA,4.65963692734194,NA,NA,672.339161203729,NA,NA,31,NA,NA,1,42.2516129032258,42.2516129032258,NA,NA,43.7471989886763,43.7471989886763,NA,NA,36.9809042844361,36.9809042844361,NA,NA,42.7,73.1,87.5254262343503,58.4131326949384,1705.91525241375,9.03187505404331,16.8102136241915,39.3884914458234
"813","5_1_1980","5_1_40_1980","DEN",132,27.6418431127612,580.693556103377,4.48614058707161,4.2252341300571,91.6348114622438,0,0,0,0,0,1.62599077133889,0,8.12995385669446,4.87797231401668,6.50396308535557,3.78909554086171,10,NA,NA,91.6348114622438,NA,NA,4.48614058707161,NA,NA,580.693556103377,NA,NA,27.6418431127612,NA,NA,1.62599077133889,44.7588235294118,44.7588235294118,NA,NA,45.4577567314845,45.4577567314845,NA,NA,37.4529411764706,37.4529411764706,NA,NA,42.7,73.1,83.6772243395978,58.4131326949384,1570.48771888705,9.7184861841355,18.0881409321462,39.3884914458234
"814","5_1_1980","5_1_322_1980","DEN",132,29,637.781791853164,4.1574878991848,3.99985534619828,85.085859543636,0,0,0,0,0,6,5,5,2,4,4.31526175183007,10,NA,NA,85.085859543636,NA,NA,4.1574878991848,NA,NA,637.781791853164,NA,NA,29,NA,NA,1,41.1379310344828,41.1379310344828,NA,NA,42.7239656560496,42.7239656560496,NA,NA,36.7758620689655,36.7758620689655,NA,NA,42.7,73.1,89.3964794635373,58.4131326949384,1555.74141540653,9.2733375157227,17.2596259044507,39.3884914458234
"815","5_1_1980","5_1_189_1980","DEN",132,30,651.346347076546,4.28612590817318,4.1305974368664,88.7156680709479,0,0,0,0,1,3,4,6,4,6,3.61535102831341,10,NA,NA,88.7156680709479,NA,NA,4.28612590817318,NA,NA,651.346347076546,NA,NA,30,NA,NA,1,41.6166666666667,41.6166666666667,NA,NA,42.6507717788709,42.6507717788709,NA,NA,36.900267760584,36.900267760584,NA,NA,42.7,73.1,88.6670430770942,58.4131326949384,1584.30268955718,9.17626895220594,17.0789609507012,39.3884914458234
"816","5_1_1980","5_1_4_1980","DEN",132,24.5849199116748,546.905885862239,3.68037813913204,3.38888873034877,77.9446635883696,0,0,0,0,0,1.89114768551345,1.89114768551345,3.7822953710269,7.56459074205379,7.56459074205379,3.1578527676514,10,NA,NA,77.9446635883696,NA,NA,3.68037813913204,NA,NA,546.905885862239,NA,NA,24.5849199116748,NA,NA,1.89114768551345,42.9538461538462,42.9538461538462,NA,NA,43.6583061090062,43.6583061090062,NA,NA,36.6461538461538,36.6461538461538,NA,NA,42.7,73.1,85.3151862464183,58.4131326949384,1382.96667086311,10.0141899831309,18.6385077165464,39.3884914458234
"817","5_1_1980","5_1_67_1980","DEN",132,29.4189980330442,602.698951703401,4.92943808969579,4.72028155280141,99.2016216213981,0,0,0,0,1.4009046682402,0,0,5.6036186729608,5.6036186729608,11.2072373459216,4.13365769649667,10,NA,NA,99.2016216213981,NA,NA,4.92943808969579,NA,NA,602.698951703401,NA,NA,29.4189980330442,NA,NA,1.4009046682402,45.552380952381,45.552380952381,NA,NA,46.1891349829826,46.1891349829826,NA,NA,37.8619047619048,37.8619047619048,NA,NA,42.7,73.1,83.1172904035124,58.4131326949384,1673.87312693702,9.5394186091389,17.7548586213473,39.3884914458234
