"","PLOT_ID_time","AGE","INVENTORY_ID","site","plot","Nr","Artcode","x","y","z","year","dbh","height","hcb","removed","reason","observation","PLOT_ID","TREE_ID","TREE_ID_time","thinned","dead"
"64","5_1_1980",132,"DEN",5,1,238,10,23.3999996185303,14.1999998092651,NA,1980,27.6,33.3,24.3,0,NA,NA,"5_1","5_1_238","5_1_238_1980",0,0
"65","5_1_1980",132,"DEN",5,1,240,10,23.5,20.6000003814697,NA,1980,41.1,38,27.4,0,NA,NA,"5_1","5_1_240","5_1_240_1980",0,0
"66","5_1_1980",132,"DEN",5,1,243,10,23.3999996185303,33.4000015258789,NA,1980,46.3,38.8,26,0,NA,NA,"5_1","5_1_243","5_1_243_1980",0,0
"67","5_1_1980",132,"DEN",5,1,245,10,23.3999996185303,41.2000007629395,NA,1980,31.3,35.8,27.7,0,NA,NA,"5_1","5_1_245","5_1_245_1980",0,0
"68","5_1_1980",132,"DEN",5,1,248,10,23.3999996185303,49.0999984741211,NA,1980,48.8,37,24.5,0,NA,NA,"5_1","5_1_248","5_1_248_1980",0,0
"69","5_1_1980",132,"DEN",5,1,250,10,21.7999992370605,44.2999992370605,NA,1980,50.1,35.6,28,0,NA,NA,"5_1","5_1_250","5_1_250_1980",0,0
"70","5_1_1980",132,"DEN",5,1,252,10,21.8999996185303,37.9000015258789,NA,1980,39.1,35.7,29.3,0,NA,NA,"5_1","5_1_252","5_1_252_1980",0,0
"71","5_1_1980",132,"DEN",5,1,256,10,21.6000003814697,25.2000007629395,NA,1980,53.3,40.7,28.5,0,NA,NA,"5_1","5_1_256","5_1_256_1980",0,0
"72","5_1_1980",132,"DEN",5,1,260,10,22.1000003814697,11,NA,1980,37.5,35.7,28.8,0,NA,NA,"5_1","5_1_260","5_1_260_1980",0,0
"73","5_1_1980",132,"DEN",5,1,262,10,22,6.09999990463257,NA,1980,34.5,37.4,29,0,NA,NA,"5_1","5_1_262","5_1_262_1980",0,0
"74","5_1_1980",132,"DEN",5,1,263,10,22.1000003814697,4.5,NA,1980,56.2,39,28.6,0,NA,NA,"5_1","5_1_263","5_1_263_1980",0,0
"75","5_1_1980",132,"DEN",5,1,267,10,20.2999992370605,9.60000038146973,NA,1980,39.8,37.7,31,0,NA,NA,"5_1","5_1_267","5_1_267_1980",0,0
"76","5_1_1980",132,"DEN",5,1,279,10,18.5,41.0999984741211,NA,1980,42.5,37.8,29.2,0,NA,NA,"5_1","5_1_279","5_1_279_1980",0,0
"77","5_1_1980",132,"DEN",5,1,280,10,18.7000007629395,36.5,NA,1980,47.8,36.9,29.2,0,NA,NA,"5_1","5_1_280","5_1_280_1980",0,0
"78","5_1_1980",132,"DEN",5,1,287,10,18.8999996185303,20.3999996185303,NA,1980,34.7,35.8,28,0,NA,NA,"5_1","5_1_287","5_1_287_1980",0,0
"79","5_1_1980",132,"DEN",5,1,290,10,18.8999996185303,14.3000001907349,NA,1980,50.4,36.7,28.8,0,NA,NA,"5_1","5_1_290","5_1_290_1980",0,0
"80","5_1_1980",132,"DEN",5,1,296,10,17.2000007629395,6.09999990463257,NA,1980,36.5,34.2,25.5,0,NA,NA,"5_1","5_1_296","5_1_296_1980",0,0
"81","5_1_1980",132,"DEN",5,1,298,10,17.2000007629395,17.5,NA,1980,27.2,33.3,25.3,0,NA,NA,"5_1","5_1_298","5_1_298_1980",0,0
"82","5_1_1980",132,"DEN",5,1,299,10,17.1000003814697,20.3999996185303,NA,1980,27,35.4,25,0,NA,NA,"5_1","5_1_299","5_1_299_1980",0,0
